"year","length_cm","proportion","ridge_height"
2007,20,0,0
2007,21,0,0
2007,22,0,0
2007,23,0,0
2007,24,0,0
2007,25,0,0
2007,26,0,0
2007,27,0,0
2007,28,0,0
2007,29,0,0
2007,30,0,0
2007,31,0,0
2007,32,0,0
2007,33,0,0
2007,34,0,0
2007,35,0,0
2007,36,0,0
2007,37,0,0
2007,38,0,0
2007,39,0,0
2007,40,0,0
2007,41,0,0
2007,42,0,0
2007,43,0,0
2007,44,0,0
2007,45,0,0
2007,46,0,0
2007,47,0,0
2007,48,0,0
2007,49,0,0
2007,50,0,0
2011,10,0,0
2011,11,0,0
2011,12,0,0
2011,13,0,0
2011,14,0,0
2011,15,0,0
2011,16,0,0
2011,17,0,0
2011,18,0,0
2011,19,0,0
2011,20,0,0
2011,21,0,0
2011,22,0,0
2011,23,0,0
2011,24,0,0
2011,25,0.01218248,0.0262570651180595
2011,26,0.1735547,0.374064809418548
2011,27,0.4639696,1
2011,28,0.3003479,0.647343920808605
2011,29,0.04994526,0.107647699332025
2011,30,0,0
2011,31,0,0
2011,32,0,0
2011,33,0,0
2011,34,0,0
2011,35,0,0
2011,36,0,0
2011,37,0,0
2011,38,0,0
2011,39,0,0
2011,40,0,0
2011,41,0,0
2011,42,0,0
2011,43,0,0
2011,44,0,0
2011,45,0,0
2011,46,0,0
2011,47,0,0
2011,48,0,0
2011,49,0,0
2011,50,0,0
2012,10,0,0
2012,11,0.003449231,0.0143050389847379
2012,12,0.01473231,0.0610994940278699
2012,13,0.04070308,0.168808394160584
2012,14,0.06317692,0.262014432647644
2012,15,0.08136154,0.337431735235567
2012,16,0.09506154,0.394249917053749
2012,17,0.2211492,0.917174850696748
2012,18,0.24112,1
2012,19,0.1752846,0.7269600199071
2012,20,0.05823385,0.241513976443265
2012,21,0.005727692,0.0237545288652953
2012,22,0,0
2012,23,0,0
2012,24,0,0
2012,25,0,0
2012,26,0,0
2012,27,0,0
2012,28,0,0
2012,29,0,0
2012,30,0,0
2012,31,0,0
2012,32,0,0
2012,33,0,0
2012,34,0,0
2012,35,0,0
2012,36,0,0
2012,37,0,0
2012,38,0,0
2012,39,0,0
2012,40,0,0
2012,41,0,0
2012,42,0,0
2012,43,0,0
2012,44,0,0
2012,45,0,0
2012,46,0,0
2012,47,0,0
2012,48,0,0
2012,49,0,0
2012,50,0,0
2014,10,0.0272616,0.149453643582203
2014,11,0.03414459,0.18718759662384
2014,12,0.06043123,0.331296310915506
2014,13,0.1506891,0.826108337116054
2014,14,0.1378277,0.755599522828993
2014,15,0.1414009,0.775188532984227
2014,16,0.0644175,0.353149854940891
2014,17,0.007916246,0.0433984728773456
2014,18,0,0
2014,19,0,0
2014,20,0,0
2014,21,0,0
2014,22,0,0
2014,23,0,0
2014,24,0,0
2014,25,0,0
2014,26,0.003720917,0.0203988248348212
2014,27,0.0976987,0.535604171737705
2014,28,0.1824084,1
2014,29,0.07316296,0.401094247852621
2014,30,0.01347149,0.0738534519243631
2014,31,0.00219315,0.0120232949798365
2014,32,0.00219315,0.0120232949798365
2014,33,0.001062401,0.00582429866168444
2014,34,0,0
2014,35,0,0
2014,36,0,0
2014,37,0,0
2014,38,0,0
2014,39,0,0
2014,40,0,0
2014,41,0,0
2014,42,0,0
2014,43,0,0
2014,44,0,0
2014,45,0,0
2014,46,0,0
2014,47,0,0
2014,48,0,0
2014,49,0,0
2014,50,0,0
2017,10,0,0
2017,11,0,0
2017,12,0,0
2017,13,0,0
2017,14,0.00277371,0.00947468416694677
2017,15,0.02208985,0.0754564651838978
2017,16,0.1239185,0.423291782465288
2017,17,0.2838968,0.969759822045871
2017,18,0.2927496,1
2017,19,0.2364318,0.807624673099468
2017,20,0.03504243,0.119701034604317
2017,21,0.003097338,0.0105801613392469
